dbms,schema_config,query_id,framework,overhead_pct,log_ratio,n_blocks
PostgreSQL,indexed,Q19,django,6.17,0.0598,8
PostgreSQL,indexed,Q19,sqlalchemy,1.12,0.0111,8
PostgreSQL,indexed,Q20,django,0.67,0.0067,8
PostgreSQL,indexed,Q20,sqlalchemy,0.04,0.0004,8
PostgreSQL,indexed,Q21,django,1.22,0.0121,8
PostgreSQL,indexed,Q21,sqlalchemy,0.62,0.0062,8
PostgreSQL,indexed,Q22,django,41.99,0.3506,8
PostgreSQL,indexed,Q22,sqlalchemy,1.02,0.0102,8
PostgreSQL,non-indexed,Q01,django,0.08,0.0008,8
PostgreSQL,non-indexed,Q01,sqlalchemy,0.02,0.0002,8
PostgreSQL,non-indexed,Q02,django,-35.4,-0.4369,8
PostgreSQL,non-indexed,Q02,sqlalchemy,0.78,0.0078,8
PostgreSQL,non-indexed,Q03,django,0.1,0.001,8
PostgreSQL,non-indexed,Q03,sqlalchemy,0.08,0.0008,8
PostgreSQL,non-indexed,Q04,django,0.74,0.0073,8
PostgreSQL,non-indexed,Q04,sqlalchemy,-0.05,-0.0005,8
PostgreSQL,non-indexed,Q05,django,0.28,0.0028,8
PostgreSQL,non-indexed,Q05,sqlalchemy,0.03,0.0003,8
PostgreSQL,non-indexed,Q06,django,45.3,0.3736,8
PostgreSQL,non-indexed,Q06,sqlalchemy,-0.03,-0.0003,8
PostgreSQL,non-indexed,Q07,django,-0.01,-0.0001,8
PostgreSQL,non-indexed,Q07,sqlalchemy,-0.0,-0.0,8
PostgreSQL,non-indexed,Q08,django,0.52,0.0052,8
PostgreSQL,non-indexed,Q08,sqlalchemy,0.4,0.004,8
PostgreSQL,non-indexed,Q09,django,-4.91,-0.0503,8
PostgreSQL,non-indexed,Q09,sqlalchemy,0.04,0.0004,8
PostgreSQL,non-indexed,Q10,django,3.75,0.0368,8
PostgreSQL,non-indexed,Q10,sqlalchemy,0.23,0.0023,8
PostgreSQL,non-indexed,Q11,django,0.0,0.0,8
PostgreSQL,non-indexed,Q11,sqlalchemy,1.38,0.0137,8
PostgreSQL,non-indexed,Q12,django,-21.71,-0.2448,8
PostgreSQL,non-indexed,Q12,sqlalchemy,-0.26,-0.0026,8
PostgreSQL,non-indexed,Q13,sqlalchemy,0.16,0.0016,8
PostgreSQL,non-indexed,Q14,django,0.09,0.0009,8
PostgreSQL,non-indexed,Q14,sqlalchemy,0.01,0.0001,8
PostgreSQL,non-indexed,Q15,django,93.05,0.6578,8
PostgreSQL,non-indexed,Q15,sqlalchemy,0.27,0.0027,8
PostgreSQL,non-indexed,Q16,django,0.74,0.0074,8
PostgreSQL,non-indexed,Q16,sqlalchemy,1.85,0.0183,8
PostgreSQL,non-indexed,Q18,django,-0.59,-0.0059,8
PostgreSQL,non-indexed,Q18,sqlalchemy,0.06,0.0006,8
PostgreSQL,non-indexed,Q19,django,0.48,0.0048,8
PostgreSQL,non-indexed,Q19,sqlalchemy,-0.04,-0.0004,8
PostgreSQL,non-indexed,Q22,django,19.76,0.1803,8
PostgreSQL,non-indexed,Q22,sqlalchemy,0.94,0.0093,8
