system,schema,query,framework,theta,overhead,sql_s,orm_s,rows,blocks
oracle,non-indexed,Q03,django,-0.11390548445885769,-10.765770788857354,1.196891,1.0679095,10,8
oracle,non-indexed,Q03,sqlalchemy,0.02735006879659871,2.772751513223158,1.0776445,1.1063785,10,8
oracle,non-indexed,Q04,django,-0.5498878717095247,-42.29854935965258,1.0782665,0.621295,5,8
oracle,non-indexed,Q04,sqlalchemy,0.010744876543390182,1.0802810039518116,1.076331,1.0894935000000001,5,8
oracle,non-indexed,Q05,django,-0.3014088215181926,-26.022472513389268,1.380109,1.0226039999999998,5,8
oracle,non-indexed,Q05,sqlalchemy,0.017931666522403574,1.8093404149940737,1.3770414999999998,1.4094735,5,8
oracle,non-indexed,Q06,django,-0.059531985444472836,-5.779460374912925,0.752151,0.7085355,1,8
oracle,non-indexed,Q06,sqlalchemy,0.006660035160700571,0.6682262512454096,0.7060394999999999,0.709592,1,8
oracle,non-indexed,Q07,django,-0.005633634176026079,-0.5617795016979336,1.228662,1.2223964999999999,4,8
oracle,non-indexed,Q07,sqlalchemy,0.0020510568030118054,0.20531616588300114,1.2155274999999999,1.216179,4,8
oracle,non-indexed,Q08,django,0.004233695247067227,0.4242669995770324,1.0706435,1.0745040000000001,2,8
oracle,non-indexed,Q08,sqlalchemy,-0.0009581076981415866,-0.09576488595116078,1.079443,1.079678,2,8
oracle,non-indexed,Q09,django,0.5475046407523316,72.89333207602694,2.295763,3.9455679999999997,175,8
oracle,non-indexed,Q09,sqlalchemy,0.013639788546099856,1.3733234841100832,2.270593,2.396618,175,8
oracle,non-indexed,Q10,django,0.005916970720237352,0.5934510568681493,0.945902,0.949519,20,8
oracle,non-indexed,Q10,sqlalchemy,0.03048886572295861,3.0958411008309237,0.9482405,0.9777009999999999,20,8
oracle,non-indexed,Q11,django,0.5672258717653795,76.33684496962482,0.2773095,0.48899899999999996,1469,8
oracle,non-indexed,Q11,sqlalchemy,0.5690301229394583,76.655288118521,0.2801395,0.491856,1469,8
oracle,non-indexed,Q12,django,0.036599306011658866,3.7277306775588643,1.1206204999999998,1.3281375,2,8
oracle,non-indexed,Q12,sqlalchemy,-0.02668423170608252,-2.633135332521599,1.1201115000000001,1.245093,2,8
oracle,non-indexed,Q13,sqlalchemy,-0.021032039121126264,-2.0812408242974034,1.333621,1.3028520000000001,42,8
oracle,non-indexed,Q14,django,0.01223721836128846,1.2312399474144542,0.7428015,0.7551034999999999,1,8
oracle,non-indexed,Q14,sqlalchemy,0.00599274309402365,0.601073550225645,0.7412205000000001,0.750102,1,8
oracle,non-indexed,Q15,django,0.7262612448015637,106.73368742471536,0.7663694999999999,1.6263005000000001,1,8
oracle,non-indexed,Q15,sqlalchemy,0.899074488488527,145.73277732520467,0.7729444999999999,1.9205715,1,8
oracle,non-indexed,Q16,django,0.06654062277276752,6.880438099081167,0.353219,0.37764699999999995,18374,8
